Saved path: clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, pet_store, gelateria, music_store, florist, pizzeria, bookstore, burger_joint : 65030
Saved path: salon, barber_shop, bike_shop, gelateria, music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, toy_store : 55853
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop, florist, bank, music_store, pharmacy, bakery, jewelry_store : 58480
Saved path: bookstore, hardware_store, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, cafe : 68974
Saved path: toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop, dentist, bookstore, cafe, tech_shop, clothing_store : 55159
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop : 58545
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, florist, craft_shop, hardware_store, burger_joint : 63175
Saved path: gym, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store : 54243
Saved path: bike_shop, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, toy_store, barber_shop : 57432
Saved path: craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store : 56386
Saved path: pet_store, bank, florist, bookstore, hardware_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria : 71119
Saved path: tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore : 58764
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, florist, gym, bookstore, tech_shop : 54153
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, cafe, burger_joint, bookstore, craft_shop, florist, gelateria : 58989
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, jewelry_store, music_store, bank, gelateria, florist, pizzeria, dentist, bookstore : 64324
