Saved path: bookstore, gym, pet_store, florist, gelateria, bank, music_store, party_store, bike_shop, barber_shop, noodle_house, tech_shop, pizzeria, dentist, cafe : 70004
Saved path: bookstore, florist, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, hardware_store, burger_joint : 70793
Saved path: dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store : 70813
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, music_store, bank, gelateria : 61724
Saved path: gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, bike_shop, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 58412
Saved path: cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, party_store, barber_shop, salon, toy_store, clothing_store, tech_shop : 66876
Saved path: barber_shop, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store, party_store, jewelry_store : 63844
Saved path: jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy : 64176
Saved path: salon, noodle_house, clothing_store, tech_shop, dentist, pet_store, florist, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, burger_joint, toy_store : 57901
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank, florist, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store : 68327
Saved path: gym, pet_store, bank, gelateria, jewelry_store, party_store, bakery, barber_shop, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop : 68659
Saved path: noodle_house, salon, hardware_store, party_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, gym, burger_joint, toy_store : 67827
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, gelateria, music_store : 49717
Saved path: grocery_store, tech_shop, cafe, bookstore, burger_joint, toy_store, bakery, jewelry_store, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist : 64297
