Saved path: music_store, florist, craft_shop, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, gelateria, bank : 57851
Saved path: burger_joint, gym, hardware_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, dentist, cafe, grocery_store, noodle_house, salon, toy_store : 47905
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, music_store, bank, gelateria, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria : 60382
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, clothing_store, noodle_house : 60679
Saved path: dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank, florist, pet_store, gym, hardware_store : 64286
Saved path: florist, music_store, bank, gelateria, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, gym, craft_shop : 58441
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, toy_store : 52946
Saved path: hardware_store, barber_shop, bike_shop, party_store, bakery, pharmacy, florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint : 54492
Saved path: clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, music_store, bank, gelateria, pharmacy, bakery, party_store, barber_shop, salon, noodle_house : 64092
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, hardware_store, craft_shop, florist, gelateria, bank, music_store, bike_shop : 63817
Saved path: pet_store, craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, bakery, music_store : 61328
Saved path: party_store, jewelry_store, bike_shop, gym, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 66458
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, bakery, bank, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, clothing_store : 70801
