Saved path: music_store, bank, gelateria, florist, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, hardware_store, bike_shop, jewelry_store, bakery : 61596
Saved path: craft_shop, bank, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym : 66552
Saved path: jewelry_store, barber_shop, salon, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, pet_store, bank, music_store, bakery, bike_shop : 71586
Saved path: dentist, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, hardware_store, pharmacy, gelateria, florist, craft_shop : 48444
Saved path: music_store, bakery, bike_shop, party_store, hardware_store, gym, burger_joint, noodle_house, clothing_store, cafe, pizzeria, craft_shop, pet_store, gelateria, bank : 61339
Saved path: bookstore, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, jewelry_store, music_store, bank, pet_store, gym, hardware_store, burger_joint : 63284
Saved path: pet_store, gym, hardware_store, bike_shop, party_store, jewelry_store, salon, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, gelateria : 64366
Saved path: jewelry_store, salon, noodle_house, clothing_store, burger_joint, bookstore, pizzeria, pet_store, bank, music_store, florist, gym, bakery, bike_shop, party_store : 71406
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, gym : 61704
Saved path: barber_shop, toy_store, burger_joint, tech_shop, cafe, bookstore, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, party_store, jewelry_store : 65973
Saved path: pharmacy, bakery, bike_shop, party_store, hardware_store, gym, noodle_house, clothing_store, cafe, dentist, pizzeria, florist, music_store, bank, gelateria : 59206
Saved path: pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, gym : 62118
Saved path: tech_shop, cafe, bookstore, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, party_store, bike_shop, gelateria, music_store, craft_shop, pizzeria, dentist : 64107
Saved path: bookstore, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, dentist, tech_shop, grocery_store : 62914
Saved path: burger_joint, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore : 60586
Saved path: party_store, bike_shop, florist, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery : 52423
Saved path: gelateria, craft_shop, gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, bank : 67415
Saved path: cafe, clothing_store, grocery_store, dentist, pet_store, florist, bank, pharmacy, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, bookstore : 65509
