Saved path: bank, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, pharmacy : 66775
Saved path: grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, craft_shop, gym, bookstore, cafe, tech_shop : 62198
Saved path: noodle_house, burger_joint, bookstore, cafe, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon : 56881
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house : 57929
Saved path: party_store, jewelry_store, bike_shop, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint, grocery_store, clothing_store, salon, hardware_store : 66801
Saved path: cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria : 53741
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store, barber_shop, jewelry_store, party_store, hardware_store : 69046
Saved path: party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, cafe, dentist, pizzeria, pet_store, bank, music_store, pharmacy, bakery : 67078
Saved path: gym, hardware_store, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, pet_store, pizzeria : 68465
Saved path: pharmacy, florist, pet_store, dentist, bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop : 58415
Saved path: salon, toy_store, clothing_store, grocery_store, burger_joint, gym, craft_shop, pet_store, florist, bank, bakery, party_store, jewelry_store, bike_shop, hardware_store : 64885
Saved path: jewelry_store, party_store, bakery, music_store, bank, gelateria, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon : 67146
Saved path: dentist, craft_shop, florist, music_store, bank, pet_store, gym, hardware_store, bakery, bike_shop, jewelry_store, salon, toy_store, burger_joint, grocery_store : 68112
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, florist, gelateria, pharmacy, bike_shop, jewelry_store : 54788
Saved path: bakery, bike_shop, hardware_store, salon, toy_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, pet_store, florist, gelateria, pharmacy : 51920
