Saved path: grocery_store, clothing_store, dentist, pizzeria, florist, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, cafe : 63582
Saved path: florist, music_store, bank, pet_store, craft_shop, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, hardware_store : 69678
Saved path: hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, pharmacy, music_store, gelateria, florist, pet_store, gym : 53907
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria, music_store : 55344
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gelateria, music_store : 61903
Saved path: barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, music_store, bank, bakery, party_store, jewelry_store : 68881
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, salon, noodle_house : 56325
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, hardware_store, gym, florist, gelateria, bank, pizzeria : 62603
Saved path: party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, dentist, bookstore, burger_joint, noodle_house, salon, toy_store, gym, bakery : 66745
Saved path: hardware_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, florist, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, bookstore, cafe, burger_joint : 63372
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store : 59042
Saved path: music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym : 56832
Saved path: bakery, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, florist, gelateria, bank, music_store, pharmacy : 49181
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, gelateria, pharmacy, bakery, bike_shop : 54247
Saved path: florist, music_store, bank, pet_store, craft_shop, dentist, burger_joint, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, hardware_store : 65553
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, tech_shop : 64629
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, music_store, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store : 53746
Saved path: bookstore, florist, pet_store, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, jewelry_store, hardware_store, burger_joint : 59784
Saved path: florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, bank : 65877
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, craft_shop, pizzeria, gym, hardware_store, bookstore : 63008
