Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, pet_store, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint : 71856
Saved path: bike_shop, bakery, pharmacy, music_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store : 57989
Saved path: jewelry_store, bike_shop, music_store, bank, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, clothing_store, noodle_house, salon, barber_shop, bakery : 70407
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, bank, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop : 67780
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, pharmacy, bakery, barber_shop, salon, noodle_house, grocery_store, dentist : 55312
Saved path: craft_shop, florist, gelateria, bank, party_store, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria : 65228
Saved path: pet_store, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop : 65479
Saved path: burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, music_store, gelateria, florist, gym, hardware_store : 51107
Saved path: gelateria, florist, pet_store, pizzeria, tech_shop, bookstore, burger_joint, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 68669
Saved path: bakery, bike_shop, toy_store, noodle_house, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy : 57249
Saved path: burger_joint, toy_store, hardware_store, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, florist, pizzeria, dentist, grocery_store, cafe, bookstore : 61596
Saved path: bakery, pharmacy, bank, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, jewelry_store, party_store : 66552
Saved path: dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bakery, bike_shop, jewelry_store, music_store, bank, pet_store, gym, hardware_store, burger_joint : 71586
Saved path: craft_shop, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, hardware_store, pharmacy, gelateria, florist : 48444
Saved path: cafe, clothing_store, noodle_house, burger_joint, gym, hardware_store, bakery, party_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, pizzeria : 61339
Saved path: bank, music_store, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pet_store : 63284
Saved path: pet_store, gym, hardware_store, bike_shop, party_store, jewelry_store, salon, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, gelateria : 64366
Saved path: noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, gym, pet_store, bank, music_store, florist, pizzeria, burger_joint, bookstore, clothing_store : 71406
Saved path: barber_shop, salon, toy_store, clothing_store, burger_joint, cafe, dentist, pizzeria, craft_shop, gym, music_store, gelateria, jewelry_store, party_store, bakery : 61704
Saved path: cafe, tech_shop, burger_joint, toy_store, barber_shop, bike_shop, jewelry_store, party_store, music_store, bank, gelateria, florist, pet_store, craft_shop, bookstore : 65973
Saved path: noodle_house, clothing_store, cafe, dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, hardware_store, gym : 59206
Saved path: music_store, gelateria, pet_store, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy : 62118
Saved path: craft_shop, music_store, gelateria, bike_shop, party_store, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, bookstore, cafe, tech_shop, dentist, pizzeria : 64107
Saved path: toy_store, hardware_store, bookstore, grocery_store, tech_shop, dentist, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 62914
