Saved path: craft_shop, gelateria, bank, music_store, bike_shop, party_store, bakery, barber_shop, noodle_house, tech_shop, dentist, cafe, burger_joint, hardware_store, gym : 63566
Saved path: barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, dentist, grocery_store, clothing_store, toy_store, salon : 63147
Saved path: bike_shop, bakery, hardware_store, gym, pet_store, florist, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, salon, barber_shop : 53288
Saved path: bike_shop, pharmacy, bank, music_store, florist, pet_store, gym, pizzeria, dentist, tech_shop, clothing_store, noodle_house, salon, jewelry_store, party_store : 71600
Saved path: pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, music_store, bank, florist : 65134
Saved path: clothing_store, toy_store, hardware_store, barber_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, dentist, cafe, tech_shop, grocery_store : 56786
Saved path: pharmacy, gelateria, pet_store, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, barber_shop : 62046
Saved path: party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, salon, burger_joint, gym, hardware_store : 70168
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, cafe, tech_shop : 54335
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, gym, craft_shop, pizzeria, cafe : 59719
Saved path: pharmacy, gelateria, music_store, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 59957
Saved path: pharmacy, music_store, florist, pet_store, pizzeria, dentist, cafe, bookstore, gym, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store : 64805
Saved path: party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, toy_store : 54346
Saved path: jewelry_store, barber_shop, salon, clothing_store, toy_store, hardware_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, pharmacy, bakery, bike_shop : 61275
Saved path: noodle_house, salon, toy_store, gym, hardware_store, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore : 61838
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, clothing_store, cafe, bookstore, hardware_store, gym, pizzeria, gelateria, bank : 70253
Saved path: toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist, pizzeria, dentist, tech_shop, grocery_store, cafe, burger_joint, hardware_store : 69692
Saved path: cafe, burger_joint, gym, pizzeria, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 67738
Saved path: pet_store, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, music_store, bank, florist : 65761
