Saved path: party_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, clothing_store, salon, toy_store, burger_joint, hardware_store : 53837
Saved path: jewelry_store, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop : 68402
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, noodle_house, bookstore, cafe, burger_joint, bakery, bike_shop : 62901
Saved path: bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, music_store, bank, gelateria, pharmacy : 64009
Saved path: burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, gym : 67941
Saved path: pet_store, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, music_store, bank : 64001
Saved path: gym, hardware_store, barber_shop, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, clothing_store, grocery_store, cafe, burger_joint : 53880
Saved path: music_store, bank, pet_store, gym, hardware_store, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, bookstore, florist : 63860
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, salon, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, gym, florist, gelateria : 68711
Saved path: pizzeria, dentist, burger_joint, grocery_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 65340
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, music_store, pharmacy, party_store, bike_shop : 58451
Saved path: burger_joint, gym, bike_shop, party_store, pharmacy, music_store, gelateria, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, salon : 56483
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, craft_shop : 47461
Saved path: burger_joint, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, party_store, barber_shop, salon, hardware_store : 69109
Saved path: salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, bike_shop : 60475
Saved path: barber_shop, toy_store, clothing_store, tech_shop, pizzeria, cafe, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, jewelry_store, bike_shop : 71308
Saved path: grocery_store, clothing_store, noodle_house, gym, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 53301
Saved path: grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore : 52106
Saved path: grocery_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, dentist, bookstore : 61243
Saved path: bank, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, hardware_store, bakery, bike_shop, jewelry_store, gelateria : 69565
Saved path: noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, music_store, pet_store, gym, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store : 53407
Saved path: burger_joint, hardware_store, gym, toy_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, dentist : 62817
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, dentist, tech_shop, noodle_house, salon, barber_shop, bike_shop, jewelry_store : 61770
Saved path: party_store, bike_shop, bakery, music_store, bank, gelateria, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store : 57099
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, barber_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, burger_joint : 54222
Saved path: barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, hardware_store, party_store, jewelry_store : 71828
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop : 57306
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, gym, craft_shop, florist : 56984
Saved path: pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, salon, toy_store, burger_joint, hardware_store, bakery, pharmacy, bank, music_store, florist : 55367
