Saved path: gelateria, bike_shop, jewelry_store, party_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, bank : 63147
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, music_store, florist : 51794
Saved path: music_store, bank, gelateria, florist, gym, hardware_store, bookstore, cafe, tech_shop, clothing_store, barber_shop, bakery, party_store, jewelry_store, bike_shop : 63267
Saved path: gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, salon, toy_store : 59182
Saved path: pharmacy, bakery, bike_shop, barber_shop, toy_store, hardware_store, gym, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 64481
Saved path: toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house : 71315
Saved path: gym, craft_shop, pet_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint : 54825
Saved path: tech_shop, dentist, burger_joint, hardware_store, gym, pet_store, florist, music_store, bank, pharmacy, party_store, bike_shop, barber_shop, salon, clothing_store : 68504
Saved path: salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, florist, bank, gelateria, pharmacy, jewelry_store, hardware_store : 70448
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery : 54055
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, burger_joint, hardware_store, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 59294
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, gym, craft_shop, music_store : 53406
Saved path: salon, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, pet_store, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop : 66744
Saved path: party_store, bakery, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, bike_shop : 57795
