Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop, music_store, bank, gelateria, party_store, jewelry_store : 65811
Saved path: bike_shop, jewelry_store, party_store, bank, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop : 72375
Saved path: cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, jewelry_store, hardware_store, burger_joint, bookstore : 54097
Saved path: bookstore, cafe, pizzeria, tech_shop, noodle_house, barber_shop, pharmacy, gelateria, bank, music_store, florist, craft_shop, gym, hardware_store, burger_joint : 56114
Saved path: music_store, bank, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, jewelry_store : 70472
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, music_store, gelateria, hardware_store, bookstore, cafe, dentist, pizzeria : 53958
Saved path: bike_shop, party_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, gym, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon : 60404
Saved path: toy_store, barber_shop, party_store, jewelry_store, music_store, florist, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house : 62652
Saved path: burger_joint, cafe, tech_shop, dentist, pizzeria, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store : 56911
Saved path: jewelry_store, party_store, hardware_store, gym, pet_store, florist, craft_shop, dentist, tech_shop, bookstore, burger_joint, noodle_house, barber_shop, bakery, bike_shop : 60051
Saved path: noodle_house, clothing_store, cafe, burger_joint, bookstore, craft_shop, pet_store, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 63922
