Saved path: bank, gelateria, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store : 61122
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria, pet_store, florist, bank : 66385
Saved path: pharmacy, music_store, bank, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, hardware_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery : 66443
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, party_store, pharmacy, bank, pet_store, gym : 61671
Saved path: gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, bookstore, gym, jewelry_store, bakery, pharmacy : 61792
Saved path: bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, gym, hardware_store, burger_joint : 56939
Saved path: jewelry_store, party_store, hardware_store, gym, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, florist, music_store, bank, gelateria, bike_shop : 65735
Saved path: florist, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, burger_joint, gym, craft_shop, pet_store : 60493
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, music_store, bakery, hardware_store, gym, toy_store, noodle_house : 46316
Saved path: pharmacy, pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, jewelry_store, party_store, bakery : 55687
Saved path: bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, pet_store, gym, craft_shop, pizzeria, cafe : 52682
