Saved path: pizzeria, burger_joint, hardware_store, gym, pet_store, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 71589
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, party_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store : 51396
Saved path: pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, pet_store, gym, craft_shop : 64882
Saved path: tech_shop, pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, clothing_store : 65621
Saved path: jewelry_store, bakery, pharmacy, bank, florist, pet_store, gym, burger_joint, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 68061
Saved path: dentist, pizzeria, grocery_store, clothing_store, noodle_house, barber_shop, bakery, pharmacy, music_store, bank, gelateria, craft_shop, gym, burger_joint, bookstore : 56994
Saved path: gym, pet_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, hardware_store : 60038
Saved path: pizzeria, grocery_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 59932
Saved path: burger_joint, gym, florist, gelateria, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, grocery_store, tech_shop, dentist, cafe, bookstore : 56495
Saved path: gelateria, pet_store, craft_shop, gym, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank : 63493
Saved path: bakery, gelateria, florist, pet_store, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, party_store : 52805
Saved path: toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 66515
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, gym, toy_store, salon, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop : 55531
