Saved path: gym, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, hardware_store : 57343
Saved path: hardware_store, bike_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, dentist, clothing_store, noodle_house, salon, toy_store, burger_joint, gym : 60254
Saved path: pizzeria, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, music_store, bank, florist, gym, craft_shop : 62858
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, hardware_store, salon, barber_shop, party_store, pharmacy, gelateria, bank, music_store : 65519
Saved path: noodle_house, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, salon : 62474
Saved path: craft_shop, gym, hardware_store, cafe, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store : 65659
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, bookstore, tech_shop, dentist, pizzeria, craft_shop, florist, music_store : 57670
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bakery, party_store, bike_shop, hardware_store, gym, craft_shop, pet_store, florist, bookstore, cafe : 46763
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, party_store, bike_shop, bakery, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 53700
Saved path: pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, gelateria, bank, music_store, florist, pet_store : 65871
Saved path: florist, music_store, pharmacy, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, pet_store : 50883
Saved path: bookstore, gym, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist : 60587
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, bakery, party_store, bike_shop, gelateria, bank, florist, gym : 58056
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, pet_store, gelateria : 59492
Saved path: gym, hardware_store, jewelry_store, bike_shop, pharmacy, bank, florist, pet_store, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, burger_joint : 67497
Saved path: dentist, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, bakery, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 55969
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store : 56778
Saved path: hardware_store, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, bookstore, pizzeria, craft_shop, florist, gelateria, bank, music_store, gym : 65658
Saved path: bookstore, burger_joint, gym, craft_shop, music_store, bank, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, cafe : 69250
Saved path: pet_store, craft_shop, hardware_store, burger_joint, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, gelateria, bank, florist : 57774
Saved path: dentist, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, bookstore, burger_joint : 62603
Saved path: bookstore, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, hardware_store, gym, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe : 62864
Saved path: clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, barber_shop, salon : 64684
Saved path: noodle_house, tech_shop, dentist, cafe, bookstore, hardware_store, gym, pet_store, gelateria, music_store, bakery, party_store, jewelry_store, barber_shop, toy_store : 63814
Saved path: pharmacy, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery : 64934
Saved path: gym, craft_shop, pizzeria, dentist, cafe, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, florist, pet_store : 65053
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, florist : 56102
Saved path: music_store, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store : 71335
Saved path: grocery_store, tech_shop, bookstore, florist, gelateria, pet_store, craft_shop, gym, hardware_store, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store : 57798
Saved path: florist, music_store, gelateria, bakery, bike_shop, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store : 54762
Saved path: hardware_store, salon, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store : 60710
