Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist : 65088
Saved path: party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, burger_joint, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery : 61510
Saved path: barber_shop, salon, toy_store, grocery_store, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store, bike_shop, jewelry_store : 69946
Saved path: bookstore, grocery_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, music_store, bank, florist, pet_store, pizzeria, dentist, burger_joint : 71697
Saved path: grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore : 61532
Saved path: toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym : 56933
Saved path: tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, pet_store, gelateria, florist, pizzeria, dentist, cafe : 63825
Saved path: bank, music_store, jewelry_store, party_store, bakery, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, gelateria : 60567
Saved path: bakery, bike_shop, jewelry_store, salon, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, florist, gym, hardware_store : 65421
Saved path: toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bakery, party_store, bike_shop, barber_shop, salon : 57499
Saved path: jewelry_store, party_store, pharmacy, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, gym, bike_shop : 49164
Saved path: bank, music_store, pharmacy, party_store, bike_shop, gym, burger_joint, toy_store, salon, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria : 62675
Saved path: jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 60139
Saved path: jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, music_store, bank, barber_shop, bakery, bike_shop : 70133
