Saved path: hardware_store, party_store, bike_shop, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, cafe, burger_joint, noodle_house, salon, toy_store, gym : 63200
Saved path: clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, gelateria, bank, party_store, hardware_store, gym, toy_store, salon, noodle_house : 64885
Saved path: bank, gelateria, pharmacy, bakery, party_store, bike_shop, gym, bookstore, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store : 62846
Saved path: burger_joint, craft_shop, pet_store, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe : 56077
Saved path: noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon : 67117
Saved path: cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, bakery, hardware_store, gym : 54281
Saved path: gym, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, bakery, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint : 56259
Saved path: cafe, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, grocery_store : 64627
Saved path: dentist, burger_joint, gym, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, pizzeria : 57039
Saved path: toy_store, salon, noodle_house, clothing_store, bookstore, burger_joint, gym, craft_shop, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store : 55970
