Saved path: clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, party_store, bakery, hardware_store, salon, toy_store : 66498
Saved path: dentist, pizzeria, craft_shop, pet_store, pharmacy, party_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore : 55917
Saved path: pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, noodle_house, salon, barber_shop, bike_shop : 65325
Saved path: tech_shop, cafe, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, gelateria, bakery, jewelry_store, salon, toy_store, noodle_house, clothing_store : 56864
Saved path: pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, burger_joint, bookstore, craft_shop : 58603
Saved path: hardware_store, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint : 64875
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bakery, pharmacy : 48516
Saved path: bakery, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, florist, music_store, bank, gelateria, pharmacy : 58848
Saved path: bank, florist, craft_shop, pizzeria, tech_shop, bookstore, hardware_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 68738
Saved path: bank, music_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, gelateria : 60518
Saved path: dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe : 59213
Saved path: cafe, bookstore, burger_joint, gym, pet_store, bank, music_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 62626
Saved path: bookstore, burger_joint, gym, craft_shop, florist, gelateria, jewelry_store, party_store, hardware_store, salon, grocery_store, tech_shop, pizzeria, dentist, cafe : 59137
Saved path: hardware_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, bank, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store : 69557
Saved path: florist, gym, bike_shop, party_store, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 63313
Saved path: bank, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, florist, gelateria : 50985
