Saved path: salon, hardware_store, party_store, bakery, bank, florist, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store : 67578
Saved path: bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym : 61688
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store : 71311
Saved path: pet_store, dentist, burger_joint, bookstore, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria : 64315
Saved path: jewelry_store, party_store, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop, grocery_store, salon, barber_shop, bike_shop : 66181
Saved path: dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bakery, party_store, jewelry_store, pharmacy, gelateria, music_store : 52383
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, gym, hardware_store : 60492
Saved path: grocery_store, clothing_store, noodle_house, hardware_store, jewelry_store, party_store, bakery, gym, pet_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop : 54337
Saved path: bookstore, hardware_store, gym, gelateria, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria, dentist, cafe : 63649
Saved path: bank, music_store, bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, craft_shop, pet_store : 62072
Saved path: hardware_store, gym, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist, cafe : 56441
Saved path: tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, florist, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, noodle_house, grocery_store : 66023
Saved path: music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist : 69333
Saved path: florist, music_store, bank, barber_shop, bakery, party_store, jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store, dentist, pizzeria, craft_shop : 69679
Saved path: pizzeria, dentist, burger_joint, hardware_store, gym, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop : 68459
Saved path: dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, burger_joint, bookstore, noodle_house, grocery_store : 60917
Saved path: clothing_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, dentist, burger_joint, bookstore, tech_shop, grocery_store : 67504
Saved path: bookstore, cafe, noodle_house, salon, hardware_store, party_store, bike_shop, bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, gym : 61092
Saved path: jewelry_store, party_store, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, barber_shop : 69719
