Saved path: burger_joint, cafe, tech_shop, noodle_house, salon, toy_store, hardware_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym : 50695
Saved path: bakery, pharmacy, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, barber_shop, jewelry_store : 65552
Saved path: salon, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store : 64800
Saved path: gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, dentist, cafe, burger_joint, gym, florist, music_store, bank : 65851
Saved path: music_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, bank : 68940
Saved path: bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, salon, jewelry_store : 64582
Saved path: toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, gym, hardware_store, dentist, pizzeria, tech_shop, noodle_house : 74549
Saved path: hardware_store, gym, bike_shop, jewelry_store, bakery, music_store, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, salon : 64677
Saved path: music_store, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy, gelateria : 58327
Saved path: clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, florist, gym, party_store, toy_store, salon, noodle_house : 69094
Saved path: cafe, dentist, tech_shop, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, gym, hardware_store, burger_joint : 61645
Saved path: noodle_house, salon, barber_shop, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, clothing_store : 53343
Saved path: gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, music_store, craft_shop : 69373
Saved path: dentist, pizzeria, florist, music_store, bike_shop, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop : 57102
Saved path: salon, noodle_house, toy_store, hardware_store, gym, burger_joint, cafe, dentist, craft_shop, pet_store, florist, music_store, pharmacy, bike_shop, barber_shop : 53505
Saved path: craft_shop, pet_store, music_store, pharmacy, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym : 61802
Saved path: bookstore, tech_shop, pizzeria, pet_store, bank, music_store, pharmacy, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 72173
Saved path: bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, gym, craft_shop, pet_store, bank, pharmacy, party_store : 63759
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, bike_shop, party_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop : 63950
Saved path: craft_shop, pizzeria, cafe, burger_joint, clothing_store, noodle_house, salon, hardware_store, bakery, party_store, bike_shop, gelateria, music_store, florist, pet_store : 56978
Saved path: bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, bank, music_store, pharmacy, bakery : 67728
Saved path: hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, craft_shop, music_store, jewelry_store, bakery, barber_shop, salon, noodle_house, toy_store : 58101
