Saved path: party_store, jewelry_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, florist, bank, pharmacy : 65831
Saved path: party_store, bike_shop, barber_shop, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, grocery_store, tech_shop, burger_joint, gym, hardware_store : 66213
Saved path: grocery_store, clothing_store, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, gym, bookstore, cafe, tech_shop : 52930
Saved path: cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym : 60801
Saved path: barber_shop, salon, clothing_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery, party_store : 57944
Saved path: cafe, burger_joint, gym, bakery, party_store, bike_shop, music_store, gelateria, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, bookstore : 58371
Saved path: cafe, burger_joint, tech_shop, clothing_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, pet_store, craft_shop, dentist : 58996
Saved path: hardware_store, gym, pet_store, florist, gelateria, bank, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore : 61185
Saved path: burger_joint, cafe, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy, hardware_store, gym : 53813
Saved path: florist, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, gym, pet_store : 58077
Saved path: dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store, pharmacy, party_store, bakery, barber_shop, noodle_house, tech_shop, pizzeria : 58546
Saved path: gym, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store : 67600
Saved path: cafe, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, pharmacy, party_store, bakery, barber_shop, salon, hardware_store, burger_joint : 57431
Saved path: pet_store, florist, gelateria, pharmacy, bakery, party_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, gym : 53557
