Saved path: gelateria, music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, toy_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop : 54502
Saved path: noodle_house, toy_store, barber_shop, party_store, pharmacy, music_store, gelateria, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store : 57204
Saved path: grocery_store, dentist, cafe, bookstore, hardware_store, gym, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store : 64041
Saved path: barber_shop, bike_shop, party_store, bakery, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house : 66009
Saved path: pharmacy, music_store, bank, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, bakery : 60561
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, music_store, craft_shop, gym, burger_joint, dentist, pizzeria : 66964
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, bakery, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop : 52313
Saved path: gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, craft_shop : 61046
Saved path: dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, pharmacy, gelateria, bank, florist, pet_store : 66006
Saved path: gym, burger_joint, cafe, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, music_store, bank, pet_store, craft_shop : 62538
Saved path: hardware_store, gym, toy_store, burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store : 63087
Saved path: grocery_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe : 63985
Saved path: gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, hardware_store, gym : 55164
Saved path: gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, music_store : 64327
Saved path: jewelry_store, party_store, pharmacy, bank, florist, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery, bike_shop : 63056
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store : 57771
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, cafe, hardware_store, gym, pet_store, florist : 59215
Saved path: noodle_house, clothing_store, dentist, burger_joint, gym, craft_shop, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 67024
Saved path: burger_joint, jewelry_store, hardware_store, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store : 64407
Saved path: tech_shop, cafe, burger_joint, dentist, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store : 63820
Saved path: bike_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, gym : 65797
Saved path: bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, music_store, gelateria, pharmacy : 52958
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, cafe, dentist : 52947
Saved path: barber_shop, salon, toy_store, grocery_store, dentist, burger_joint, hardware_store, gym, craft_shop, florist, bank, music_store, party_store, jewelry_store, bike_shop : 68862
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria, craft_shop, gym, pet_store, gelateria, bank, music_store, bakery, party_store, bike_shop : 66839
Saved path: pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, craft_shop : 62891
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, bike_shop, jewelry_store, hardware_store, salon, toy_store, clothing_store : 62058
Saved path: gym, craft_shop, florist, gelateria, bike_shop, party_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, hardware_store : 55535
