Saved path: gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, burger_joint, toy_store, salon, barber_shop, jewelry_store, bike_shop : 69435
Saved path: craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, gym : 63493
Saved path: bookstore, burger_joint, gym, pet_store, florist, gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, clothing_store, dentist, cafe : 60642
Saved path: noodle_house, clothing_store, toy_store, burger_joint, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, hardware_store, salon : 55528
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, jewelry_store, party_store, bakery, pharmacy, bank : 61670
Saved path: bookstore, cafe, clothing_store, grocery_store, dentist, pizzeria, music_store, bank, gelateria, pharmacy, barber_shop, bike_shop, party_store, hardware_store, burger_joint : 64844
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, pharmacy, music_store, bank, florist, craft_shop, gym, tech_shop : 58441
Saved path: grocery_store, cafe, dentist, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house : 61920
Saved path: bakery, party_store, bike_shop, gym, hardware_store, salon, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 65068
Saved path: music_store, gelateria, bike_shop, party_store, bakery, barber_shop, salon, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, pizzeria, craft_shop : 59182
Saved path: noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, party_store, barber_shop, salon, toy_store : 57075
Saved path: pet_store, gelateria, bank, music_store, jewelry_store, bakery, hardware_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 60105
Saved path: bank, gelateria, bike_shop, jewelry_store, hardware_store, toy_store, salon, noodle_house, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist : 67743
