Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, toy_store, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria, bank, florist : 67979
Saved path: tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, jewelry_store, salon, clothing_store, grocery_store : 64713
Saved path: bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store : 48282
Saved path: barber_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, pet_store, dentist, tech_shop, bookstore, hardware_store, toy_store, noodle_house, salon : 60331
Saved path: party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, gym, toy_store, salon, barber_shop : 58587
Saved path: cafe, hardware_store, gym, craft_shop, florist, bank, pharmacy, bakery, party_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist : 62073
Saved path: bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, pet_store, gym, hardware_store : 56895
Saved path: pet_store, gelateria, bank, music_store, bakery, bike_shop, barber_shop, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop : 61566
Saved path: craft_shop, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, hardware_store, gym : 54690
Saved path: bakery, barber_shop, salon, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, pharmacy, party_store : 65273
Saved path: burger_joint, gym, pet_store, florist, gelateria, party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore : 57846
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, gym, craft_shop, pizzeria, dentist, bookstore, burger_joint, clothing_store, noodle_house, salon, barber_shop : 60742
Saved path: clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, bank, gelateria, jewelry_store, gym, hardware_store, salon, toy_store : 67718
Saved path: clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store : 63987
Saved path: party_store, bike_shop, gym, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery : 54327
Saved path: dentist, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe : 62802
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, music_store, florist, craft_shop, gym, burger_joint, bookstore : 50447
Saved path: burger_joint, gym, pet_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore : 58110
Saved path: bakery, bike_shop, jewelry_store, hardware_store, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, barber_shop : 59977
Saved path: bookstore, burger_joint, noodle_house, salon, hardware_store, bakery, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop : 59404
Saved path: noodle_house, clothing_store, grocery_store, burger_joint, pizzeria, florist, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 59841
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, music_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore : 73786
Saved path: pizzeria, craft_shop, pet_store, bank, florist, gym, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, burger_joint, tech_shop, dentist : 73444
Saved path: gelateria, pharmacy, jewelry_store, party_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist, bank : 62448
Saved path: dentist, craft_shop, florist, bank, party_store, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 65395
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, jewelry_store, gym, toy_store : 59981
