Saved path: bakery, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, toy_store, salon, hardware_store, party_store : 56330
Saved path: bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, party_store, jewelry_store, salon, noodle_house, toy_store, burger_joint : 68814
Saved path: pharmacy, gelateria, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, bakery : 55417
Saved path: gelateria, florist, pet_store, pizzeria, dentist, cafe, bookstore, gym, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 62666
Saved path: gelateria, pet_store, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 60831
Saved path: clothing_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, jewelry_store, music_store, bank, gelateria, florist, pet_store, craft_shop, bookstore, tech_shop : 59871
Saved path: grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop : 54437
Saved path: cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, bakery, pharmacy, music_store, pet_store, gym, bookstore : 54930
Saved path: barber_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, bank, gelateria, jewelry_store, party_store, bakery : 67117
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, pharmacy, music_store, florist, craft_shop, gym, bookstore, dentist, pizzeria, tech_shop : 56574
Saved path: burger_joint, gym, craft_shop, pet_store, florist, gelateria, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore : 48858
Saved path: jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, grocery_store, cafe, bookstore, gym, music_store, bank, gelateria, pharmacy, bike_shop : 62556
Saved path: hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, bookstore, burger_joint, gym : 64429
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 61725
Saved path: jewelry_store, bike_shop, bakery, bank, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store : 66968
Saved path: florist, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, toy_store, salon, jewelry_store, bakery, pharmacy, gelateria, bank : 66399
Saved path: pet_store, gelateria, bank, music_store, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gym : 70991
Saved path: bakery, jewelry_store, bike_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, pharmacy : 58288
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist, pet_store, pizzeria, cafe, burger_joint, hardware_store, gym : 71667
Saved path: salon, noodle_house, clothing_store, grocery_store, dentist, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store : 59607
Saved path: bakery, bike_shop, music_store, florist, pet_store, craft_shop, gym, hardware_store, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 50223
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, hardware_store, gym, gelateria, bank : 68291
Saved path: bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, pet_store, bank, music_store, florist, bookstore, hardware_store, bakery, party_store : 68621
Saved path: bike_shop, party_store, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, gym : 64554
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, gym, craft_shop, dentist, cafe, bookstore, burger_joint : 59442
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, pharmacy, gelateria, music_store, bike_shop, jewelry_store, barber_shop : 55634
