Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, cafe, bookstore, gym, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank : 68825
Saved path: dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, pharmacy, bank, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe : 56018
Saved path: craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, gym, pizzeria : 68849
Saved path: florist, gelateria, pharmacy, bakery, party_store, gym, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store : 50812
Saved path: salon, barber_shop, jewelry_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, clothing_store, toy_store : 68218
Saved path: music_store, florist, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, jewelry_store, bakery, gym, pet_store, bank : 68463
Saved path: jewelry_store, party_store, bike_shop, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, burger_joint, toy_store, noodle_house, salon, barber_shop : 60153
Saved path: pharmacy, music_store, gelateria, pet_store, pizzeria, tech_shop, grocery_store, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery : 60432
Saved path: bike_shop, party_store, jewelry_store, salon, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 65406
Saved path: tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store : 54700
Saved path: bookstore, cafe, tech_shop, salon, barber_shop, bike_shop, party_store, bakery, bank, gelateria, florist, craft_shop, gym, hardware_store, burger_joint : 60307
Saved path: noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, bakery, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store : 58201
Saved path: cafe, bookstore, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, florist, music_store, bank, pet_store, pizzeria, dentist : 72249
Saved path: noodle_house, toy_store, burger_joint, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store : 62070
Saved path: cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist : 53445
Saved path: florist, music_store, bank, pet_store, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, hardware_store : 59366
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, pharmacy, music_store, bank, party_store, jewelry_store, barber_shop : 67971
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 61399
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop, gym, hardware_store, burger_joint, dentist : 65711
