Saved path: cafe, clothing_store, grocery_store, dentist, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, bakery, hardware_store, gym, burger_joint, bookstore : 50335
Saved path: bookstore, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, party_store, bakery, hardware_store, toy_store, noodle_house, clothing_store : 60764
Saved path: bike_shop, bakery, music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop : 62501
Saved path: bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bakery, pharmacy, music_store, florist, pet_store, gym, hardware_store : 52743
Saved path: party_store, bike_shop, bakery, pharmacy, music_store, gelateria, florist, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store : 51694
Saved path: cafe, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint : 56548
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, bike_shop, gym, toy_store, salon, tech_shop, cafe : 60991
Saved path: toy_store, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, bookstore, cafe, dentist, grocery_store, noodle_house : 60052
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, barber_shop, jewelry_store, party_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, pizzeria : 71581
Saved path: gym, hardware_store, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store : 61013
Saved path: gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, pizzeria, pet_store, florist, music_store, bank : 69080
Saved path: tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, florist, craft_shop, gym, hardware_store, bookstore, dentist, pizzeria : 59740
Saved path: bank, music_store, jewelry_store, bakery, barber_shop, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, gelateria : 64602
Saved path: salon, barber_shop, party_store, jewelry_store, bike_shop, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, toy_store : 61371
Saved path: barber_shop, bike_shop, hardware_store, gym, florist, music_store, bank, pet_store, dentist, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, salon : 63345
Saved path: craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, gym, pizzeria : 62329
