Saved path: cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, party_store, bank, florist, craft_shop, gym, burger_joint, bookstore : 62115
Saved path: gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, gym, florist, music_store, bank : 66689
Saved path: cafe, tech_shop, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, dentist : 59923
Saved path: hardware_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, jewelry_store, bike_shop, gym : 57495
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store : 54447
Saved path: clothing_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop : 53019
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore : 69678
Saved path: burger_joint, gym, florist, bank, music_store, pharmacy, bakery, party_store, toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, cafe : 60676
Saved path: bakery, party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, florist, gym : 58872
Saved path: cafe, dentist, pizzeria, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, salon, noodle_house, grocery_store : 67965
Saved path: cafe, tech_shop, dentist, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, hardware_store, burger_joint, bookstore : 63744
Saved path: pet_store, gym, craft_shop, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, bank, florist : 69391
Saved path: craft_shop, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, bike_shop, gelateria, bank, music_store : 60011
