Saved path: burger_joint, bookstore, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, hardware_store, gym, pet_store, gelateria, florist, pizzeria, dentist, cafe : 63630
Saved path: hardware_store, salon, barber_shop, bakery, pharmacy, bank, music_store, florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 57293
Saved path: toy_store, salon, noodle_house, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, music_store, gelateria, pharmacy, bike_shop, hardware_store, gym : 51874
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, gym, hardware_store, cafe, tech_shop, grocery_store : 58731
Saved path: clothing_store, grocery_store, cafe, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, gym, noodle_house : 64149
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, dentist, cafe, grocery_store, clothing_store, toy_store, gym : 63339
Saved path: clothing_store, grocery_store, tech_shop, cafe, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, dentist : 60747
Saved path: pharmacy, barber_shop, salon, noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, florist, bank : 57443
Saved path: bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, dentist, florist, gelateria : 61876
Saved path: bookstore, burger_joint, gym, craft_shop, music_store, gelateria, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, tech_shop, dentist, cafe : 57100
Saved path: hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store, dentist, tech_shop, noodle_house, salon, toy_store, burger_joint : 67624
Saved path: music_store, bank, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, bike_shop : 67196
Saved path: bakery, party_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 67202
Saved path: pharmacy, pet_store, craft_shop, pizzeria, gym, hardware_store, bookstore, cafe, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 63715
Saved path: craft_shop, pet_store, bank, gelateria, bike_shop, party_store, jewelry_store, barber_shop, salon, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym : 70315
Saved path: gym, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, dentist, bookstore : 65570
Saved path: grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, dentist, tech_shop : 63785
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, bank, gelateria : 58798
Saved path: party_store, jewelry_store, bike_shop, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, noodle_house, toy_store, hardware_store, salon, barber_shop, bakery : 60983
Saved path: cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, grocery_store : 56671
