Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, gelateria, jewelry_store, party_store, bike_shop : 62475
Saved path: bank, pet_store, gym, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, music_store : 66038
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, jewelry_store, party_store, bakery, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, cafe : 54758
Saved path: gelateria, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank : 64743
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, craft_shop, pet_store, gelateria, music_store, bakery, party_store, jewelry_store : 55840
Saved path: grocery_store, clothing_store, noodle_house, bookstore, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, craft_shop, dentist, cafe : 53385
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, hardware_store, gym, gelateria, bank, pet_store : 60139
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store : 69975
Saved path: toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, bakery, gym : 57880
Saved path: pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, gym, pet_store, florist, craft_shop : 59536
Saved path: bike_shop, jewelry_store, music_store, pet_store, craft_shop, gym, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop : 65931
Saved path: noodle_house, toy_store, gym, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 67257
Saved path: pet_store, dentist, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, party_store, bike_shop, bakery, pharmacy, bank, music_store, florist : 59290
Saved path: tech_shop, cafe, dentist, craft_shop, pet_store, florist, music_store, gelateria, bike_shop, jewelry_store, bakery, hardware_store, burger_joint, toy_store, grocery_store : 55070
Saved path: jewelry_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop : 57548
Saved path: craft_shop, pizzeria, dentist, cafe, grocery_store, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, florist : 62723
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, pizzeria, pet_store, gelateria, bank, music_store, florist, hardware_store, bakery, bike_shop, jewelry_store : 69785
Saved path: bakery, party_store, jewelry_store, gelateria, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 56695
Saved path: bank, music_store, florist, craft_shop, pizzeria, cafe, burger_joint, hardware_store, gym, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, gelateria : 67562
Saved path: noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, grocery_store : 64185
