Saved path: bank, music_store, pharmacy, party_store, bike_shop, gym, burger_joint, noodle_house, grocery_store, cafe, dentist, pizzeria, pet_store, florist, gelateria : 63213
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, noodle_house, burger_joint, hardware_store, party_store, bakery, barber_shop, music_store, bank, gelateria : 66914
Saved path: barber_shop, jewelry_store, bike_shop, bakery, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store : 65045
Saved path: clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, barber_shop, toy_store : 56066
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, gym, bakery, bike_shop, gelateria, bank, florist, craft_shop : 60030
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, hardware_store, burger_joint, cafe, tech_shop, toy_store : 62510
Saved path: pizzeria, craft_shop, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist : 60056
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop, pet_store, florist : 58668
Saved path: bakery, bank, pet_store, gym, hardware_store, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop : 68886
Saved path: burger_joint, cafe, dentist, pet_store, music_store, jewelry_store, bike_shop, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore : 60586
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, gym, craft_shop, dentist, cafe, tech_shop, grocery_store : 66700
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, jewelry_store, music_store, florist, craft_shop, gym, burger_joint, pizzeria, tech_shop : 58627
Saved path: music_store, gelateria, florist, pet_store, craft_shop, pizzeria, bookstore, burger_joint, clothing_store, toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy : 61839
Saved path: noodle_house, toy_store, hardware_store, party_store, bike_shop, bakery, music_store, bank, gelateria, pet_store, gym, burger_joint, cafe, dentist, tech_shop : 61479
Saved path: florist, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, bakery, pharmacy, gelateria, bank : 59810
Saved path: bookstore, noodle_house, clothing_store, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, burger_joint, cafe : 56433
Saved path: salon, toy_store, clothing_store, tech_shop, burger_joint, dentist, pizzeria, florist, gelateria, bank, pet_store, gym, hardware_store, bakery, jewelry_store : 70096
Saved path: bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, gym, hardware_store : 51697
Saved path: pet_store, gym, hardware_store, bakery, bike_shop, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, bank : 57103
Saved path: salon, barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store : 53551
Saved path: bakery, barber_shop, gelateria, music_store, florist, pet_store, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, party_store : 58013
