Saved path: music_store, pharmacy, bike_shop, jewelry_store, salon, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank : 60558
Saved path: bike_shop, jewelry_store, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, toy_store, salon, hardware_store, gym : 62111
Saved path: bakery, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, bike_shop, party_store : 52764
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, bike_shop, party_store, hardware_store, toy_store, noodle_house : 50938
Saved path: pharmacy, music_store, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, gym, hardware_store, toy_store, salon, barber_shop, bike_shop, jewelry_store : 64994
Saved path: pet_store, craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, music_store, bank, florist : 69209
Saved path: bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, party_store : 58358
Saved path: gym, hardware_store, cafe, dentist, grocery_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop : 60232
Saved path: bakery, party_store, gym, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy : 51028
Saved path: clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, party_store, bike_shop, barber_shop, salon, hardware_store, toy_store : 67495
Saved path: jewelry_store, party_store, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, florist, music_store, bike_shop : 55232
Saved path: clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, bank, pharmacy, bakery, hardware_store, gym, burger_joint, toy_store, salon : 57636
Saved path: pet_store, pizzeria, dentist, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, pharmacy, bank, gelateria, florist : 66522
Saved path: music_store, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy : 52587
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, bank, music_store, florist, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, toy_store : 63945
Saved path: dentist, pizzeria, pet_store, florist, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore : 70225
Saved path: noodle_house, clothing_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, jewelry_store, hardware_store, toy_store : 55516
