Saved path: hardware_store, gym, craft_shop, pet_store, music_store, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, dentist, bookstore, burger_joint : 65204
Saved path: gelateria, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, bank : 62860
Saved path: pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, party_store, bakery : 64206
Saved path: bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store : 65612
Saved path: cafe, dentist, pizzeria, florist, music_store, bank, gelateria, party_store, bakery, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop : 59594
Saved path: gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, bookstore, pizzeria, craft_shop, pet_store, bank : 69589
Saved path: tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, jewelry_store, bike_shop, pharmacy, bank, florist, pet_store, craft_shop, pizzeria : 68053
Saved path: bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, bank, gelateria : 59561
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, dentist, cafe, bookstore, burger_joint, toy_store, salon, barber_shop, jewelry_store : 62256
Saved path: clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, bookstore, hardware_store, bakery, barber_shop, toy_store, noodle_house : 62101
Saved path: pet_store, florist, gelateria, bank, music_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria : 57734
Saved path: gym, bookstore, tech_shop, pizzeria, florist, gelateria, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 63910
Saved path: barber_shop, bakery, pharmacy, florist, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, toy_store, salon : 52254
Saved path: pet_store, florist, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria : 68210
Saved path: party_store, music_store, pet_store, gym, hardware_store, bookstore, cafe, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 62142
Saved path: noodle_house, salon, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, gelateria, florist, pet_store, dentist, cafe, tech_shop, clothing_store : 60785
Saved path: gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, salon, barber_shop, party_store, bakery, pharmacy : 62566
