Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, bank, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 63642
Saved path: hardware_store, gym, pet_store, bank, music_store, florist, dentist, cafe, bookstore, toy_store, noodle_house, salon, jewelry_store, bike_shop, bakery : 68730
Saved path: pharmacy, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, gym, florist, bank, music_store : 67042
Saved path: dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, party_store, bakery, music_store, pet_store, craft_shop : 56992
Saved path: burger_joint, bookstore, tech_shop, dentist, pizzeria, pet_store, florist, bank, pharmacy, bakery, barber_shop, noodle_house, clothing_store, toy_store, hardware_store : 63230
Saved path: jewelry_store, music_store, bank, florist, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store : 65682
Saved path: pizzeria, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, bank, gelateria, pet_store, gym : 74025
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, pharmacy, party_store : 62901
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist, pizzeria, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop : 65996
Saved path: gelateria, bike_shop, bakery, gym, toy_store, salon, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 61644
Saved path: bookstore, florist, gelateria, bank, pet_store, gym, hardware_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 61520
Saved path: craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, party_store, music_store, pet_store : 63014
Saved path: gym, bike_shop, party_store, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store : 64953
Saved path: music_store, pharmacy, bakery, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, florist, gelateria, bank : 60690
Saved path: cafe, dentist, pizzeria, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, noodle_house, clothing_store, grocery_store, tech_shop : 63978
Saved path: hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, gym : 63968
Saved path: bike_shop, gym, toy_store, salon, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, party_store : 59844
Saved path: grocery_store, clothing_store, toy_store, burger_joint, hardware_store, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, florist, pet_store, pizzeria, dentist : 68486
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, music_store, florist, pet_store, gym, burger_joint, cafe, dentist : 58061
Saved path: salon, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, jewelry_store, gym, toy_store : 69432
