Saved path: party_store, jewelry_store, gym, hardware_store, salon, noodle_house, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy : 60231
Saved path: salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, pet_store, florist, craft_shop, pizzeria, dentist, bookstore, grocery_store, noodle_house : 59896
Saved path: jewelry_store, barber_shop, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery : 60095
Saved path: bookstore, burger_joint, toy_store, salon, hardware_store, party_store, bakery, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store : 55872
Saved path: bookstore, burger_joint, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, party_store, pharmacy, music_store, craft_shop, pizzeria, tech_shop, cafe : 56387
Saved path: dentist, pizzeria, pet_store, florist, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, bookstore, cafe : 53701
Saved path: gym, craft_shop, pet_store, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore : 65524
Saved path: pet_store, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, toy_store, barber_shop, pharmacy, gelateria, bank, music_store, florist : 56269
Saved path: barber_shop, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, bike_shop, party_store, bakery : 52849
Saved path: gym, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, salon, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop : 68508
Saved path: toy_store, salon, grocery_store, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, bike_shop, gym, burger_joint : 57591
Saved path: pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bike_shop, music_store, bank, florist, craft_shop : 67564
Saved path: gelateria, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, florist, music_store, bank : 64055
Saved path: pharmacy, gelateria, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bakery : 56364
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, grocery_store, tech_shop, gym, craft_shop, pet_store, florist, gelateria : 64805
