Saved path: pet_store, florist, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym : 62174
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, noodle_house, hardware_store, gym, bookstore : 71812
Saved path: burger_joint, gym, toy_store, noodle_house, barber_shop, party_store, bakery, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore : 64294
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, gelateria, pet_store, gym, craft_shop, pizzeria, dentist, cafe, tech_shop : 58702
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, tech_shop, bookstore, dentist, pet_store, bank, gelateria, pharmacy : 64439
Saved path: bakery, bike_shop, party_store, hardware_store, gym, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, music_store, pharmacy : 58055
Saved path: barber_shop, salon, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, hardware_store, party_store, jewelry_store : 62401
Saved path: pharmacy, jewelry_store, party_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, florist, bank, music_store : 65999
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, florist, gym, hardware_store, cafe, dentist, pizzeria : 67639
Saved path: gelateria, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 62556
