Saved path: cafe, dentist, pizzeria, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, gelateria, bank, music_store, gym, burger_joint, bookstore : 67829
Saved path: bike_shop, jewelry_store, party_store, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 60036
Saved path: music_store, bank, pharmacy, bakery, bike_shop, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist : 57766
Saved path: bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, tech_shop, pizzeria, pet_store : 61338
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, music_store : 58652
Saved path: barber_shop, salon, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, bike_shop : 64725
Saved path: party_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria : 59763
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe : 54855
Saved path: grocery_store, cafe, bookstore, hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, barber_shop, salon, toy_store : 60370
Saved path: bike_shop, pharmacy, music_store, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, salon, barber_shop : 57473
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, jewelry_store, pharmacy, bank, florist, pet_store, pizzeria, tech_shop, cafe : 71079
Saved path: pizzeria, dentist, cafe, bookstore, noodle_house, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, gym : 63833
Saved path: bike_shop, jewelry_store, music_store, florist, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop : 63004
Saved path: florist, pet_store, pizzeria, dentist, bookstore, tech_shop, grocery_store, toy_store, salon, hardware_store, party_store, bike_shop, pharmacy, music_store, bank : 68053
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, gym, burger_joint, grocery_store : 63827
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, florist, craft_shop, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, barber_shop : 62897
Saved path: jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, florist, bank, music_store, pharmacy : 67686
Saved path: gym, burger_joint, toy_store, salon, noodle_house, grocery_store, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, party_store, hardware_store : 63147
