Saved path: barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, bank, music_store, pharmacy, bakery, jewelry_store : 61671
Saved path: hardware_store, party_store, jewelry_store, bike_shop, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, grocery_store, salon : 71328
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, cafe, tech_shop, dentist : 70494
Saved path: hardware_store, burger_joint, tech_shop, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store : 64086
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, salon, toy_store, gym, bike_shop, party_store, pharmacy, music_store, gelateria, florist : 56662
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, pizzeria, tech_shop : 57999
Saved path: music_store, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, bike_shop : 50184
Saved path: gym, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store : 52914
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, bike_shop, jewelry_store, salon : 53978
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, florist, gelateria : 67258
Saved path: pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, bookstore, noodle_house, grocery_store, tech_shop, dentist, craft_shop : 56813
