Saved path: toy_store, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store : 53303
Saved path: dentist, pizzeria, bank, pharmacy, jewelry_store, party_store, bakery, gym, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe : 67277
Saved path: bank, gelateria, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, bike_shop, bakery : 57108
Saved path: dentist, pizzeria, craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, bookstore : 63648
Saved path: bookstore, gym, craft_shop, florist, gelateria, bank, music_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist : 68314
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, clothing_store, toy_store, gym, hardware_store, bike_shop : 56121
Saved path: cafe, tech_shop, pizzeria, craft_shop, florist, bank, party_store, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore : 67685
Saved path: bank, music_store, pharmacy, bike_shop, jewelry_store, hardware_store, salon, noodle_house, grocery_store, cafe, burger_joint, gym, pet_store, florist, gelateria : 62274
Saved path: gym, bakery, party_store, jewelry_store, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, salon, toy_store, burger_joint : 62142
Saved path: gym, bookstore, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store : 65797
Saved path: pet_store, bank, music_store, florist, gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, toy_store, clothing_store, burger_joint, pizzeria, craft_shop : 70474
Saved path: burger_joint, gym, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, cafe : 67481
Saved path: pharmacy, bike_shop, jewelry_store, salon, toy_store, noodle_house, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, florist, gelateria, bank : 70683
Saved path: party_store, bike_shop, music_store, bank, gelateria, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop, bakery : 66106
Saved path: gelateria, music_store, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store : 58052
Saved path: dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, gelateria, music_store, florist, craft_shop, pizzeria : 56992
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, party_store, bike_shop, barber_shop, noodle_house, grocery_store : 64920
